sim/cockpit/gyros/psi_ind_ahars_copilot_degm,sim/cockpit/gyros/the_ind_ahars_copilot_deg,sim/cockpit2/autopilot/sync_hold_roll_deg
124.9956131,0.8183596134000001,-2.387268066
124.8372726,0.8624484539,-2.3431050780000002
124.69797520000002,0.37608718869999996,-2.363660097
124.56933590000001,-0.7262575626000001,-2.58483696
124.35700990000002,-0.3335711956,-2.915163517
124.1777115,-0.9585691690000001,-3.230166197
123.986557,-1.917889476,-3.5600929260000003
123.76371,-2.462320089,-3.878129482
123.53200530000001,-3.0893471239999997,-4.1744246480000005
123.28570559999999,-3.633428574,-4.297134399
123.01845549999999,-3.516765833,-3.522643328
122.96184540000002,-3.524516582,-1.41656208
122.87007140000001,-3.9549248219999997,-1.109764576
122.78823090000002,-4.302194118,-1.10573709
122.7240906,-4.522390366000001,-1.144310832
122.64850619999999,-4.769291401,-1.159177184
122.5714264,-4.867732525,-1.187577367
122.48307040000002,-4.42287159,-1.178617716
122.4047241,-4.297801495,-1.152858377
122.3256531,-4.123494148,-1.125643253
122.24848940000001,-3.9146130080000003,-1.099502921
122.17239380000001,-3.688935995,-1.074833035
122.0986328,-3.4545092580000003,-1.05083406
122.02536770000002,-3.203505278,-1.027365565
121.951889,-2.93601799,-1.004215598
121.88159180000001,-2.6669273380000003,-0.9822702408
121.81259159999999,-2.392091036,-0.9612403512000001
121.744545,-2.1119451519999997,-0.9409020543000001
121.679245,-1.837046027,-0.9215722679999999
121.61478419999999,-1.561603665,-0.9029533863
121.55154420000001,-1.2895329,-0.8849171995999999
121.49044040000001,-1.027484536,-0.8674964905
121.4293365,-0.7681041956,-0.8504905105
121.36959840000002,-0.5195948482,-0.8338087201000001
121.3115768,-0.2854595482,-0.8180029392
121.2535858,-0.060936901720000006,-0.8027029037000001
121.19747920000002,0.1452352405,-0.7877519727
121.1424179,0.3342376053,-0.7733349204000001
121.08927920000001,0.5022104978999999,-0.75938797
121.03713229999998,0.6506878138000001,-0.745873034
120.9849014,0.78189224,-0.7324764729000001
120.93355559999999,0.8907982111,-0.7191434503
120.8835754,0.9763938189,-0.7064979672
120.83428959999999,1.0349447729999999,-0.6938230395
120.7932739,0.16942025719999998,-0.7713220716
120.746376,-0.9635549188,-0.9162117839
120.69148249999999,-1.8931808469999998,-1.069612861
120.64924620000001,-3.9025509360000004,-1.217274666
120.5902557,-5.18598938,-1.3607609269999998
120.5258179,-6.562864304,-1.500909328
120.4566574,-7.973378181,-1.636141777
120.31560520000001,-7.279184817999999,-1.779970527
